date,entries,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,winners_9,jpad_1,jpad_2,jpad_3,jpad_4,jpad_5,jpad_6,jpad_7,jpad_8,jpad_9,fund_1,fund_2,fund_3,fund_4,fund_5,fund_6,fund_7,fund_8,fund_9,counter_1,counter_2,counter_3,counter_4,counter_5,counter_6,counter_7,counter_8,to_roll_over_1,to_roll_over_2,to_roll_over_3,to_roll_over_4,to_roll_over_5,to_roll_over_6,to_roll_over_7,to_roll_over_8,rojp_1,rojp_2,rojp_3,rojp_4,rojp_5,rojp_6,rojp_7,rojp_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,prize_9
2018-Jan-03,22909485,0,0,36,308,1952,18511,36934,330060,274544,6803818.9,861581.546,430790.773,1292372.319,430790.773,861581.546,861581.546,3877116.957,1372720,6803818.9,861581.546,430790.773,1292372.319,430790.773,861581.546,861581.546,3877116.957,1372720,3,1,1,1,1,1,1,1,6803818.9,861581.546,0,0,0,0,0,0,5337611.9,0,0,0,0,0,0,0,0,0,11966.4,4196,220.6,46.5,23.3,11.7,5
2018-Jan-06,47358258,0,2,28,601,2875,35538,56921,697485,446119,9834747.412,2703342.0948,920880.2744,2762640.8232,920880.2744,1841760.5488,1841760.5488,8287922.4696,2230595,9834747.412,2703342.0948,920880.2744,2762640.8232,920880.2744,1841760.5488,1841760.5488,8287922.4696,2230595,4,2,1,1,1,1,1,1,9834747.4,0,0,0,0,0,0,0,6803818.9,861581.546,0,0,0,0,0,0,0,1351671,32888.5,4596.7,320.3,51.8,32.3,11.8,5
2018-Jan-10,24378366,0,0,32,269,1792,16024,39754,337823,333255,11394962.824,896269.2576,448134.6288,1344403.8864,448134.6288,896269.2576,896269.2576,4033211.6592,1666275,11394962.824,896269.2576,448134.6288,1344403.8864,448134.6288,896269.2576,896269.2576,4033211.6592,1666275,5,1,1,1,1,1,1,1,11394962.8,896269.2,0,0,0,0,0,0,9834747.4,0,0,0,0,0,0,0,0,0,14004.2,4997.7,250,55.9,22.5,11.9,5
2018-Jan-13,49672833,0,0,45,664,3314,39464,65025,772972,503746,14574024.112,2810131.7188,956931.2594,2870793.7782,956931.2594,1913862.5188,1913862.5188,8612381.3346,2518730,14574024.112,2810131.7188,956931.2594,2870793.7782,956931.2594,1913862.5188,1913862.5188,8612381.3346,2518730,6,2,1,1,1,1,1,1,14574024.1,2810131.7,0,0,0,0,0,0,11394962.8,896269.2,0,0,0,0,0,0,0,0,21265.1,4323.4,288.7,48.4,29.4,11.1,5
2018-Jan-17,26097623,1,2,51,524,2757,27256,47364,480730,340473,16244271.972,3777751.5628,483809.9314,1451429.7942,483809.9314,967619.8628,967619.8628,4354289.3826,1702365,16244271.972,3777751.5628,483809.9314,1451429.7942,483809.9314,967619.8628,967619.8628,4354289.3826,1702365,7,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14574024.1,2810131.7,0,0,0,0,0,0,16244271.9,1888875.7,9486.4,2769.9,175.4,35.5,20.4,9,5
2018-Jan-20,45746759,0,4,82,945,4957,47737,85643,821602,608764,2927792.576,1690176.6924,845088.3462,2535265.0386,845088.3462,1690176.6924,1690176.6924,7605795.1158,3043820,2927792.576,1690176.6924,845088.3462,2535265.0386,845088.3462,1690176.6924,1690176.6924,7605795.1158,3043820,1,1,1,1,1,1,1,1,2927792.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422544.1,10305.9,2682.8,170.4,35.4,19.7,9.2,5
2018-Jan-24,21925081,0,1,50,405,2925,22145,50002,379717,362905,4330997.684,774481.0316,387240.5158,1161721.5474,387240.5158,774481.0316,774481.0316,3485164.6422,1814525,4330997.684,774481.0316,387240.5158,1161721.5474,387240.5158,774481.0316,774481.0316,3485164.6422,1814525,2,1,1,1,1,1,1,1,4330997.6,0,0,0,0,0,0,0,2927792.5,0,0,0,0,0,0,0,0,774481,7744.8,2868.4,132.3,34.9,15.4,9.1,5
2018-Jan-27,46317161,0,0,64,488,3668,31293,72693,610032,576931,7295295.904,1730962.7196,865481.3598,2596444.0794,865481.3598,1730962.7196,1730962.7196,7789332.2382,2884655,7295295.904,1730962.7196,865481.3598,2596444.0794,865481.3598,1730962.7196,1730962.7196,7789332.2382,2884655,3,1,1,1,1,1,1,1,7295295.9,1730962.7,0,0,0,0,0,0,4330997.6,0,0,0,0,0,0,0,0,0,13523.1,5320.5,235.9,55.3,23.8,12.7,5
2018-Jan-31,23727249,1,2,55,472,3444,28125,52509,454570,345741,8813839.836,2592600.2564,430818.7782,1292456.3346,430818.7782,861637.5564,861637.5564,3877369.0038,1728705,8813839.836,2592600.2564,430818.7782,1292456.3346,430818.7782,861637.5564,861637.5564,3877369.0038,1728705,4,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7295295.9,1730962.7,0,0,0,0,0,0,8813839.8,1296300.1,7833,2738.2,125,30.6,16.4,8.5,5
2018-Feb-03,46293388,0,2,110,832,5659,42488,101133,772254,731186,2962776.832,1652798.7168,826399.3584,2479198.0752,826399.3584,1652798.7168,1652798.7168,7437594.2256,3655930,2962776.832,1652798.7168,826399.3584,2479198.0752,826399.3584,1652798.7168,1652798.7168,7437594.2256,3655930,1,1,1,1,1,1,1,1,2962776.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826399.3,7512.7,2979.8,146,38.9,16.3,9.6,5
2018-Feb-07,22260647,0,4,39,342,2151,16055,42462,329588,312553,4387458.208,814287.7092,407143.8546,1221431.5638,407143.8546,814287.7092,814287.7092,3664294.6914,1562765,4387458.208,814287.7092,407143.8546,1221431.5638,407143.8546,814287.7092,814287.7092,3664294.6914,1562765,2,1,1,1,1,1,1,1,4387458.2,0,0,0,0,0,0,0,2962776.8,0,0,0,0,0,0,0,0,203571.9,10439.5,3571.4,189.2,50.7,19.1,11.1,5
2018-Feb-10,46542339,1,2,83,529,3756,33236,76129,661846,607145,7366167.896,1725673.4804,862836.7402,2588510.2206,862836.7402,1725673.4804,1725673.4804,7765530.6618,3035725,7366167.896,1725673.4804,862836.7402,2588510.2206,862836.7402,1725673.4804,1725673.4804,7765530.6618,3035725,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4387458.2,0,0,0,0,0,0,0,7366167.8,862836.7,10395.6,4893.2,229.7,51.9,22.6,11.7,5
2018-Feb-14,21109867,0,0,36,266,2308,16957,39381,307011,310003,1351031.488,765388.7012,382694.3506,1148083.0518,382694.3506,765388.7012,765388.7012,3444249.1554,1550015,1351031.488,765388.7012,382694.3506,1148083.0518,382694.3506,765388.7012,765388.7012,3444249.1554,1550015,1,1,1,1,1,1,1,1,1351031.4,765388.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10630.3,4316.1,165.8,45.1,19.4,11.2,5
2018-Feb-17,44791205,0,0,44,482,3123,31833,64345,648143,517184,4217668.52,2459693.238,847152.269,2541456.807,847152.269,1694304.538,1694304.538,7624370.421,2585920,4217668.52,2459693.238,847152.269,2541456.807,847152.269,1694304.538,1694304.538,7624370.421,2585920,2,2,1,1,1,1,1,1,4217668.5,2459693.2,0,0,0,0,0,0,1351031.4,765388.7,0,0,0,0,0,0,0,0,19253.4,5272.7,271.2,53.2,26.3,11.7,5
