date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2017-Aug-02,0,1,43,119,2209,3294,41688,37203,0,98139.1,3969.3,1792.8,162.2,94.6,50,20,6464929.04,10445463.44,15767505,9e+06
2017-Aug-05,0,3,31,113,2430,3442,49531,38129,0,38870.6,6542,2243.4,175.3,107.5,50,20,10166082.15,14774124.15,18464895,1.3e+07
2017-Aug-09,0,1,32,72,1857,2793,35367,30439,0,76079.6,4134.8,2297,149.6,86.5,50,20,12580785.09,15851093.99,12633205,1.5e+07
2017-Aug-12,0,0,30,83,2067,3073,42127,34180,0,0,10093.9,2895.6,195.3,114.2,50,20,16089613.86,20177337.36,16881255,1.9e+07
2017-Aug-16,0,1,24,65,1666,2150,33037,25416,0,91450.7,6626.8,3058.5,200.5,135,50,20,18992178.17,22225927.57,13636190,2.2e+07
2017-Aug-19,0,2,58,131,2716,3067,48978,33074,0,59036.3,3540.4,1959.4,158.8,122.2,50,20,22739704.35,27236269.75,18319950,2.6e+07
2017-Aug-23,1,2,43,113,2326,3777,44296,38599,25448845.9,42678.3,3452.3,1642.1,134,71.7,50,20,0,29437483.6,14884295,3e+06
2017-Aug-26,0,0,30,105,2284,3267,48006,36050,0,0,10727.5,2432.5,187.9,114.1,50,20,3729098.37,8229564.17,18288120,6500000
2017-Aug-30,1,0,30,126,1909,3321,37642,27102,6586613.8,0,8220.3,1553.4,172.2,86.1,50,20,0,10067759.1,14085655,3e+06
2017-Sep-02,0,1,63,119,3582,3389,67007,37593,0,113943.1,3145.4,2081.5,116.2,106.7,50,20,3616454.17,9056300.67,20125015,7e+06
2017-Sep-06,0,1,27,86,1766,2370,39895,29762,0,100400.8,6467.1,2537.9,207.6,134.5,50,20,6803088.68,10571737.18,15456095,9e+06
2017-Sep-09,0,0,58,99,2666,3089,47006,34105,0,0,5214.3,2424.5,151.3,113.4,50,20,10307453.86,14635967.16,17406445,1.3e+07
2017-Sep-13,0,0,53,92,2311,2883,42552,29386,0,0,4110.6,1879.4,125.6,87.6,50,20,12831868.14,16480767.14,13718715,1.6e+07
2017-Sep-16,1,2,60,164,2840,4621,51758,48273,16010159.7,50069,2902.5,1327.4,128.8,68.8,50,20,0,20739218.1,17571520,3e+06
2017-Sep-20,0,0,42,80,2375,2633,40572,27764,0,0,4403.9,1835,103.9,81.3,50,20,2143210.97,5519680.17,12266190,5e+06
2017-Sep-23,0,2,29,97,1914,3148,41018,36738,0,53540.9,6421.7,2399.8,204.3,108,50,20,5541891.5,9584657.4,16536415,8e+06
2017-Sep-27,0,0,36,62,2029,1874,40469,21197,0,0,5865.6,2703.1,138.7,130.5,50,20,7988663.16,11340786.26,12886960,11300000
