date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2017-Aug-02,0,1,16,42,940,1456,18246,16070,0,81884.5,3411.9,1612.7,144.1,93,25,15,535787.6,1708057.9,3416240,1300000
2017-Aug-05,0,2,29,56,1579,1743,29224,19806,0,60088.5,2762.7,1775.1,125.9,114.1,25,15,1322130.71,3047194.01,5022712.5,2e+06
2017-Aug-09,0,0,17,37,877,1177,18698,13694,0,0,5165.5,2788.8,208,155,25,15,1948951.77,3177661.88,3711082.5,2700000
2017-Aug-12,0,0,20,39,1201,1371,24846,15895,0,0,6006.7,3619.8,207.8,182,25,15,2806481.84,4426452.84,4955112.5,3500000
2017-Aug-16,0,1,18,52,1191,1475,24209,16184,0,98295,3640.6,1563.5,136.6,110.3,25,15,3449646.77,4868142.67,4123007.5,4e+06
2017-Aug-19,0,2,26,90,1496,2315,29814,24006,0,68033.7,3488.9,1250.6,150.4,97.2,25,15,4339964.62,6234753.83,5570570,5e+06
2017-Aug-23,0,0,16,62,1229,1628,23404,18618,0,0,6658.9,2019.2,180.1,136,25,15,5100462.95,6639316.65,4598545,5500000
2017-Aug-26,1,1,56,107,2285,3093,38247,30974,5949006.9,129683.1,1543.8,1002.5,93.9,69.3,25,15,0,8122101.7,6043622.5,7e+05
2017-Aug-30,0,0,14,51,1387,1602,25652,17084,0,0,7651.8,2468.3,160.5,139,25,15,764649.51,2340509.51,4680590,1e+07
2017-Sep-02,0,1,29,66,1762,2591,36450,31526,0,170260.6,3914,2133.8,159.8,108.7,25,15,1e+07,12371946.7,6972245,1.1e+07
2017-Sep-06,1,0,27,97,1593,2828,29836,29049,10796805.97,0,4134.4,1352.3,145.6,82,25,15,0,12685042.5,5370085,7e+05
2017-Sep-09,0,0,36,96,2093,2841,38309,28859,0,0,3221.5,1419.6,115.1,84.8,25,15,827832.19,2952518.89,5905115,1500000
2017-Sep-13,0,1,31,48,1279,1393,25228,16132,0,117463,2526.1,2024.2,152,139.5,25,15,1596416.99,3150762.19,4645680,2300000
2017-Sep-16,0,0,33,60,1843,2278,37173,23380,0,0,3842.7,2483.5,142.9,115.7,25,15,2501574.17,4584347.58,5975737.5,3200000
2017-Sep-20,0,0,24,73,1248,1979,25565,21281,0,0,3584,1384.6,143.2,90.3,25,15,3115570.56,4618419.66,4233647.5,4e+06
2017-Sep-23,0,1,29,58,1618,1805,31120,20641,0,145727.9,3350.1,2078.3,149,133.5,25,15,4069098.86,6002185.56,5773450,4700000
2017-Sep-27,0,0,11,39,899,1579,20658,20025,0,0,9676,3206.9,246,140.1,25,15,4828851.21,6319553.21,4500640,5700000
2017-Sep-30,0,2,37,78,2070,2221,39843,24683,0,80468.3,2899.8,1706.7,128.6,119.8,25,15,5881892.97,8181842.58,6706382.5,6600000
2017-Oct-04,0,1,28,78,1656,2592,33509,27437,0,138185.8,3290.1,1465.4,138.1,88.2,25,15,6786071.65,8837269.45,5910555,7600000
2017-Oct-07,0,1,50,92,2210,2678,39785,30083,0,168760.7,2250.1,1517.3,126.3,104.3,25,15,7890308.76,10315474.46,7058672.5,8600000
2017-Oct-11,1,0,49,77,2156,2257,36673,25850,8763163.8,0,2495.6,1866.1,117.8,112.5,25,15,0,10841602.2,5902942.5,7e+05
2017-Oct-14,0,2,24,64,1735,2224,35193,25002,0,95127.1,5284.8,2459,181.4,141.6,25,15,1244872.59,3603840.39,7207342.5,2e+06
2017-Oct-18,0,0,27,62,1496,2228,28571,22821,0,0,4735.6,2423.3,177.6,119.2,25,15,2157544.51,4023507.51,5557225,3e+06
2017-Oct-21,0,1,29,77,1792,2527,36558,30728,0,174838.9,4019.3,1878.2,161.4,114.4,25,15,3301552.16,5690759.76,7066750,4200000
2017-Oct-25,0,2,54,144,2439,3306,43777,32721,0,70158.5,1732.3,806,95.2,70.2,25,15,4219675.8,6619115,6635097.5,5100000
2017-Oct-28,1,2,42,105,2164,3050,43277,33219,5449722.3,93994.1,2983.9,1480.9,143.7,102,25,15,0,8120805.6,7802105,7e+05
2017-Nov-01,0,1,43,97,2051,2498,39507,25868,0,166756.7,2585.4,1422,134.5,110.5,25,15,1091123.61,3434570.01,6868837.5,2e+06
2017-Nov-04,1,2,30,115,2355,3198,46133,33125,2411693.5,100911.5,4484.9,1451.7,141.8,104.4,25,15,0,5233019.2,8283682.5,7e+05
2017-Nov-08,0,0,34,55,1421,1574,25448,17510,0,0,3176.4,2307.3,157.8,142.5,25,15,770879.01,2353156.91,4706677.5,1500000
2017-Nov-11,1,0,33,86,1799,2243,35032,23687,1637596,0,3679.4,1659.1,140.2,112.4,25,15,0,3637136.8,5732840,7e+05
2017-Nov-15,0,0,25,60,1282,1353,24958,14906,0,0,3908.6,1913.6,158.4,150.1,25,15,697490.56,2163715.66,4327120,1400000
2017-Nov-18,0,0,27,81,1676,2106,33298,23154,0,0,4297.5,1683.3,143.8,114.5,25,15,1525732.82,3440018.42,5484962.5,2300000
2017-Nov-22,0,0,15,35,919,1301,19849,14923,0,0,6197.4,3121.1,210.2,148.4,25,15,2189288.19,3497799.89,3944122.5,2800000
2017-Nov-25,0,0,22,91,1448,2356,29833,24600,0,0,6198.2,1760.8,195.6,120.2,25,15,3162630.54,5140468.74,5902640,3900000
2017-Nov-29,0,0,54,90,2564,2498,38861,24374,0,0,1636.7,1154,71.6,73.5,25,15,3793509.41,5690071.61,5054945,4500000
2017-Dec-02,0,0,32,93,1838,2510,35744,26806,0,0,4478.4,1810.7,162,118.6,25,15,4816455.79,7019291.69,6451555,5500000
2017-Dec-06,0,2,21,55,1388,1853,25769,20938,0,59445,3774.3,1788.1,141.7,106.2,25,15,5594378.53,7242637.53,4852147.5,6300000
2017-Dec-09,0,1,21,98,1490,3129,31952,29982,0,139978.1,4443.7,1181.5,155.4,74,25,15,6510284.11,8570988.91,5953307.5,7200000
2017-Dec-13,0,0,28,50,1346,2073,26160,22729,0,0,3744.2,2463.8,161.8,105.1,25,15,7258622.25,8917239.95,4813787.5,8e+06
2017-Dec-16,0,1,39,89,1574,2591,33390,29104,0,149399.7,2553.9,1388.5,157.1,95.4,25,15,8236176.11,10374521.21,6231502.5,9e+06
2017-Dec-20,0,0,17,37,1209,1305,24867,15195,0,0,6192.1,3343.2,180.8,167.5,25,15,8987573.01,10503311.81,4534660,9600000
2017-Dec-23,0,1,51,108,2753,3183,52612,34397,0,231547.8,3026.8,1773.4,139.1,120.3,25,15,10502638.96,13677192.96,9379740,11400000
2017-Dec-27,1,1,25,83,1514,2244,29404,25227,11311282.5,123585.2,3295.5,1231.6,135.1,91.2,25,15,0,13142177.2,5278495,7e+05
2017-Dec-30,0,1,27,73,1844,2644,38128,31586,0,200197.6,4943.2,2268.5,179.6,125.2,25,15,1309935.4,3898401.1,7797132.5,2200000
2018-Jan-03,0,1,22,62,1455,1929,29181,23460,0,167817.7,5085.4,2238.9,190.8,144,25,15,2408001.33,4463324.62,6306495,3400000
2018-Jan-06,0,1,80,149,3233,3480,52120,32548,0,164765.2,1373,914.7,84.3,78.3,25,15,3486094.86,6233236.26,7650717.5,4300000
2018-Jan-10,0,0,19,72,1530,2217,33554,24870,0,0,8973,2782.4,231.5,159.8,25,15,4703027.86,6994219.26,7016000,5700000
2018-Jan-13,0,0,27,97,2133,3618,43488,40660,0,0,7670.2,2508.8,201.7,118.9,25,15,6181279.35,9189234.65,8972507.5,7100000
2018-Jan-17,0,0,52,90,2210,2404,44981,27839,0,0,3135,2128.4,153.3,140.9,25,15,7344916.88,9919119.47,7475305,8500000
2018-Jan-20,1,3,59,131,2976,3502,59937,38244,8960388,82297.6,2789.7,1558.9,137.2,116.6,25,15,0,12464814.4,10240287.5,1e+06
2018-Jan-24,0,2,63,168,3802,4472,72862,47709,0,142028.7,3005.9,1398.6,123.6,105.1,25,15,1858647.07,6044160.38,12088132.5,3e+06
2018-Jan-27,0,2,103,280,4875,7696,96439,85066,0,230180.3,2979.7,1360,156.2,98.9,25,15,4870882.86,11228526.96,18740857.5,5600000
2018-Jan-31,0,0,31,68,1535,2014,32263,23289,0,0,4787.4,2564.5,201,153.3,25,15,5930228.31,8026214.91,6309350,6800000
2018-Feb-03,0,0,45,103,2495,3182,46602,32835,0,0,3907.6,2006.1,146.4,114.8,25,15,7185416.05,9956022.95,8051707.5,8e+06
2018-Feb-07,0,1,26,79,1739,2657,35077,27539,0,128169.6,3286.5,1342,121.9,79.8,25,15,8024056.91,10057716.21,5744702.5,8700000
2018-Feb-10,0,1,29,83,1836,2451,37305,27906,0,172361.3,3962.3,1717.8,155.3,116.3,25,15,9151852.53,11503095.03,6958262.5,1e+07
2018-Feb-14,0,0,28,48,1474,1934,29328,20166,0,0,3715.2,2546.6,146.6,111.8,25,15,9894394.45,11588656.45,4873425,10700000
2018-Feb-17,0,1,23,59,1742,2016,34807,22993,0,161662.8,4685.9,2266.4,153.6,132.6,25,15,10952188.32,13105307.22,6421815,11700000
2018-Feb-21,0,1,32,71,1342,1849,24652,21031,0,110794.7,2308.2,1290.8,136.5,99.2,25,15,11677140.88,13251813.57,4599200,12500000
2018-Feb-24,0,3,31,93,2396,2796,43837,29769,0,53507.4,3452.1,1427.7,110.9,95,25,15,12727471.69,15201581.49,7048432.5,13600000
2018-Feb-28,0,0,20,66,1311,2241,27215,24601,0,0,6879.6,2449.8,217.9,127.5,25,15,13709610.05,15629673.25,5804962.5,14500000
2018-Mar-03,0,0,68,126,2904,3547,50711,36809,0,0,1984.8,1258.7,96.6,79,25,15,14673008.28,17347220.27,7275285,15500000
2018-Mar-07,0,1,45,108,1836,2522,32236,25986,0,114525.6,1696.7,877.1,103.1,75.2,25,15,15422373.29,17282613.19,5219172.5,16300000
2018-Mar-10,0,1,24,85,1569,2664,32297,29932,0,157759.2,4382.2,1535.2,166.4,97.9,25,15,16454625.14,18626341.34,6408100,17200000
2018-Mar-14,1,1,13,46,1236,1576,24495,17724,17229370.5,118404.5,6072,2129.2,158.5,124.4,25,15,0,18794849.6,4680037.5,7e+05
2018-Mar-17,0,0,32,70,1771,2325,34059,26164,0,0,4107.9,2206.7,154.2,117.4,25,15,938322.62,3014222.62,6028710,1700000
2018-Mar-21,0,1,18,76,1174,1818,22978,19541,0,88569.2,3280.4,963.9,124.8,80.6,25,15,1517849.8,2899333.6,3922025,2200000
2018-Mar-24,0,0,38,98,1943,2338,39782,26370,0,0,4466.9,2035.4,181.5,150.9,25,15,2729483.46,5194253.56,7352402.5,3500000
2018-Mar-28,0,0,17,51,1059,1456,22523,17709,0,0,6507.6,2548.9,217,157.8,25,15,3519162.92,5048055.83,4637342.5,4200000
2018-Mar-31,0,1,30,70,1483,1982,30861,22968,0,152033.8,3378.5,1796.5,169.6,126.9,25,15,4513951.72,6512173.12,5986010,5200000
2018-Apr-04,0,0,21,49,1278,1615,26416,16977,0,0,5452.8,2746.1,186.1,147.3,25,15,5331317.06,6971165.06,4914507.5,6e+06
2018-Apr-07,0,1,23,65,1635,2265,33933,24645,0,150099.2,4350.7,1910.1,151.9,109.6,25,15,6313447.47,8402369.78,6142152.5,7e+06
2018-Apr-11,0,1,28,53,1330,1843,23789,19338,0,110401.7,2628.6,1723,137.3,99.1,25,15,7035828.86,8561195.66,4495557.5,7700000
2018-Apr-14,0,0,24,76,1550,2258,30096,24636,0,0,5760,2137.4,185.3,127.2,25,15,8022578.89,10019633.89,5967465,8800000
2018-Apr-18,0,1,25,48,1413,1544,29452,16644,0,107125.3,2856.6,1846.1,125.4,114.8,25,15,8723522.44,10331076.94,4616990,9500000
2018-Apr-21,0,1,81,91,2796,2840,45226,29252,0,131044.6,1078.6,1191.1,77.5,76.3,25,15,9580974.32,11910587.62,6374527.5,10300000
2018-Apr-25,0,0,21,79,1293,2408,27764,24632,0,0,5862,1831.1,197.9,106.2,25,15,10459697.76,12302650.96,5443097.5,11300000
2018-Apr-28,0,1,24,89,2147,2700,40786,29991,0,171212.5,4755.9,1591.3,131.9,104.9,25,15,11579977.31,14042891.41,7166500,12500000
2018-May-02,0,0,47,91,2304,2180,39500,22529,0,0,2674,1622.8,113.3,119.8,25,15,12477067.9,14598062.9,6036117.5,13500000
2018-May-05,0,0,42,117,2888,3425,52806,38121,0,0,5045.8,2128.5,152.5,128.5,25,15,13989797.88,17223253.48,9492345,15100000
2018-May-09,0,1,51,166,2685,4065,47469,37288,0,152803,1997.4,761.4,94.1,62.2,25,15,14989619.69,17622228.99,7265002.5,1.6e+07
2018-May-12,0,1,38,93,2356,2829,48226,30864,0,209241.4,3670.9,1861,146.9,122.4,25,15,16358730.26,19241514.86,8503675,17200000
2018-May-16,0,0,15,54,1177,1882,25578,23814,0,0,8615.1,2812.1,228.1,142.6,25,15,17281138.29,19095725.09,5474105,1.8e+07
2018-May-19,0,3,20,92,1818,2935,36191,33163,0,55519.4,5551.9,1497.5,151.6,93.9,25,15,18370963.38,20739754.88,6916987.5,19300000
2018-May-23,0,0,16,73,1198,1845,24894,20948,0,0,7643.9,1968.7,212.1,137.7,25,15,19243957.51,20954697.31,5167457.5,2e+07
2018-May-26,0,2,56,119,2532,3265,48210,34372,0,95457.1,2272.8,1327,124.7,96.7,25,15,20493149.62,23321549.52,8155592.5,21500000
2018-May-30,0,1,33,65,1714,2433,33044,28812,0,150799,3046.4,1919,145.6,102.6,25,15,21479858.57,23613387.98,6239990,22500000
2018-Jun-02,0,3,50,117,2314,3434,45485,36547,0,66566.5,2662.7,1411.8,142.8,96.2,25,15,22786533.82,25630668.93,8301510,23700000
2018-Jun-06,0,0,30,94,2002,2622,37453,31477,0,0,4062.2,1523.5,126.4,96.6,25,15,23656441.38,25836334.38,6099630,24500000
2018-Jun-09,0,3,38,108,1838,3108,38778,33881,0,60184,3167.6,1382.9,162.5,96.1,25,15,24837831.25,27363124.05,7413405,25800000
2018-Jun-13,0,1,27,83,1624,2283,29792,24014,0,134899.7,3330.9,1344.3,137.4,97.7,25,15,25720507.82,27608115.43,5540875,26700000
2018-Jun-16,0,0,55,103,2439,2564,43613,26200,0,0,2571,1613.3,120.5,114.6,25,15,26729886.2,29108520,6775625,27700000
2018-Jun-20,0,0,34,99,3466,2643,36401,25524,0,0,2880.1,1162.3,58.7,76.9,25,15,27428852.85,29341429.85,5223380,28400000
2018-Jun-23,0,1,35,83,1878,2554,34728,29223,0,178438.1,3398.8,1778.2,157.1,115.6,25,15,28596411.05,30938218.95,7018970,29600000
2018-Jun-27,0,1,27,70,2028,2430,39528,25610,0,132809.7,3279.3,1569.4,108.4,90.4,25,15,29465412.3,31608478.3,6023950,30500000
2018-Jun-30,0,3,52,311,3435,6007,61348,54964,0,63673.4,2449,508.1,92,52.6,25,15,30715298.05,34181833.55,9432870,3.2e+07
2018-Jul-04,0,2,48,86,2076,2641,41927,29428,0,83688.9,2324.7,1609.7,133.3,104.9,25,15,31810485.41,34271249.71,7111972.5,3.3e+07
2018-Jul-07,0,0,34,124,2449,3594,47897,40638,0,0,5794,1866.8,167.1,113.9,25,15,33216654.91,36270713.61,8920290,34200000
2018-Jul-11,0,0,26,82,1642,2413,33904,29796,0,0,6140.7,2288,202.1,137.4,25,15,34356321.2,36661529.8,6889707.5,35500000
2018-Jul-14,1,5,58,149,2701,4103,51269,41807,35764015.8,43027.6,2472.9,1194.3,131.8,86.8,25,15,0,38921494.9,9129715,9e+05
2018-Jul-18,0,2,42,108,2089,2753,37527,28681,0,74137.9,2353.5,1135.7,117.4,89,25,15,970198.76,3198632.76,6397907.5,2e+06
2018-Jul-21,1,0,121,140,4355,3320,62411,34825,2112575.3,0,1322.7,1343.3,76.3,100.2,25,15,0,5208284.5,8476155,9e+05
2018-Jul-25,0,1,21,79,1599,2343,32424,24594,0,158019.8,5016.3,1654.5,163.6,111.5,25,15,1033956.5,3130375,6260742.5,2e+06
2018-Jul-28,0,1,26,105,2025,3299,41059,38329,0,217371.2,5573.6,1712.4,177.5,109,25,15,2456261.85,5318787.15,8570010,3500000
2018-Aug-01,0,0,44,86,2042,2356,40418,26344,0,0,3753.2,2256.4,168.1,145.7,25,15,3635054.73,6086385.33,7259495,4700000
2018-Aug-04,0,1,47,109,2528,3672,47471,40004,0,214555.4,3043.4,1628.2,140.4,96.6,25,15,5038935.95,8070486.35,8871335,6e+06
2018-Aug-08,1,0,48,74,2011,2405,36583,26280,5971363,0,2721.4,2074.3,134.9,112.9,25,15,0,8107071.8,6136142.5,9e+05
2018-Aug-11,0,0,33,98,1778,2783,36536,31255,0,0,4728.5,1871.1,182.3,116.5,25,15,1113840.01,3483822.21,6967620,2e+06
2018-Aug-15,0,0,29,72,1605,2350,32695,24398,0,0,4330.1,2049.4,162.6,111,25,15,2010172.7,3988470.4,5749077.5,3e+06
2018-Aug-18,0,1,36,76,1926,2347,38835,26425,0,182268.9,3375.3,1983.7,156.5,128.4,25,15,3202796.59,5627361.29,7234967.5,4e+06
2018-Aug-22,0,0,51,107,2629,2714,41948,26674,0,0,2104.5,1178.7,84.8,82.2,25,15,3968907.61,6097198.01,5788605,5e+06
2018-Aug-25,0,1,26,64,1805,2382,36493,27328,0,191618.5,4913.3,2476.5,175.7,133.1,25,15,5222707.41,7656995.41,7375810,6200000
2018-Aug-29,0,0,16,45,1227,1668,25314,20312,0,0,8940.2,3735.4,242.1,178.1,25,15,6243758.38,8086552.08,5728082.5,7200000
2018-Sep-01,0,0,33,92,2078,2343,42235,27802,0,0,5522.7,2327.8,182.2,161.6,25,15,7544660.6,10171212.7,7854875,8500000
2018-Sep-05,1,1,27,80,1586,2319,30724,25620,8545852.5,153012.3,3778.1,1582.1,159.6,109.2,25,15,0,10586201.9,6082882.5,1e+06
2018-Sep-08,0,1,37,92,2140,2855,38545,29613,0,168398.2,3034.2,1514,130.2,97.5,25,15,1101864.66,3486626.76,6973620,2100000
2018-Sep-12,0,3,22,67,1358,1914,28363,21558,0,44604.7,4055,1652,163,115.7,25,15,1977437.91,3786394.81,5368940,3e+06
2018-Sep-15,0,2,22,93,1815,2654,36313,29105,0,95818.9,5807.2,1704.5,174.7,119.5,25,15,3231364.91,5687913.11,7420600,4200000
2018-Sep-19,0,0,15,58,1314,1896,27158,21177,0,0,8616.6,2618.6,204.3,141.6,25,15,4153953.8,5968610.4,5474677.5,5100000
2018-Sep-22,0,0,30,118,1640,2230,32696,25137,0,0,5329.9,1592.3,202.6,148.9,25,15,5295309.46,7501863.86,6695912.5,6e+06
2018-Sep-26,0,1,27,50,1356,1693,26960,19564,0,138134.2,3410.7,2285.2,168.5,135,25,15,6199150.26,7968134.36,5345640,7200000
2018-Sep-29,0,1,57,134,2843,3642,46991,35370,0,178070.2,2082.7,1099.2,103.6,80.9,25,15,7364300.94,10102875.44,7807445,8300000
2018-Oct-03,0,1,51,84,2146,2635,41613,29199,0,190496.9,2490.2,1875.8,146.9,119.6,25,15,8610762.22,11194529.93,7660247.5,9600000
2018-Oct-06,0,0,41,111,2179,3919,43916,39353,0,0,4845.3,2103.1,189.4,105.3,25,15,10028791.8,12974461.5,8727445,1.1e+07
2018-Oct-10,0,2,32,69,2079,2626,42453,28317,0,88150.7,3672.9,2113.5,140.3,111.1,25,15,11182369.26,13691547.26,7325282.5,12200000
2018-Oct-13,0,0,61,162,3292,4238,60658,40747,0,0,2727.4,1206.8,105,81.5,25,15,12369921.05,15550506.05,8736637.5,13400000
2018-Oct-17,0,1,43,113,2123,2903,41782,33747,0,193321,2997.2,1415.1,150.6,110.2,25,15,13634860.79,16307357.09,7874867.5,14600000
2018-Oct-20,1,2,36,97,2417,3222,47529,38215,15125986.6,113944.5,4220.1,1943.3,156,117,25,15,0,18209775.3,9149790,1e+06
2018-Oct-24,0,0,25,96,1635,2526,34023,28044,0,0,6479.2,1982.6,205.7,133.3,25,15,1156204.31,3452784.21,6905505,2200000
2018-Oct-27,0,2,40,108,2473,3158,49783,33213,0,95573.1,3185.7,1464,127.9,100.1,25,15,2406914.21,5258782.91,8205200,3400000
2018-Oct-31,0,2,27,68,1916,2275,36646,24936,0,84263.5,4161.2,2050,145.5,122.5,25,15,3509620.95,5777555.85,6741537.5,4500000
2018-Nov-03,1,0,62,85,2481,2952,47662,32532,4997780.8,0,3362.6,2882.2,174.6,146.8,25,15,0,7997315.2,8974757.5,1e+06
2018-Nov-07,0,0,29,71,1842,2344,38754,26523,0,0,5619.3,2697,183.8,144.4,25,15,1163188.34,3561363.24,7122780,2100000
2018-Nov-10,1,1,31,105,1897,3200,39581,30564,2635181.9,224965,4837.9,1772.2,196.1,116.3,25,15,0,5388349.5,8450662.5,1e+06
2018-Nov-14,0,0,25,69,1622,1973,31791,24573,0,0,5995.7,2552.7,192,157.8,25,15,1069933.48,3182095.67,6364225,2e+06
2018-Nov-17,0,1,41,116,2474,3528,48828,34506,0,192617.3,3132,1373.5,128.8,90.3,25,15,2330268.84,5186143.74,8232562.5,3200000
2018-Nov-21,1,1,40,91,2232,2521,40839,25103,3298288.7,147942.6,2465.7,1344.7,109.7,97.1,25,15,0,5554386.5,6447945,1e+06
2018-Nov-24,1,1,45,128,2693,3725,51223,39983,1321044.8,201895.6,2991,1304.7,124,89.7,25,15,0,4372921.5,8745715,1e+06
2018-Nov-28,0,2,38,72,1970,2496,38756,27727,0,73164.5,2567.2,1681.1,122.9,96.9,25,15,957460.94,3191163.14,6382670,2e+06
2018-Dec-01,0,0,42,122,2344,2930,45856,31447,0,0,4137.4,1673.7,154,123.2,25,15,2197831.86,4915851.06,7916855,3200000
2018-Dec-05,0,0,37,76,1925,2036,35182,23279,0,0,3743.4,2141.5,149.5,141.4,25,15,3186488.56,5292161.26,6188250,4200000
2018-Dec-08,0,0,37,95,2159,2699,42528,29378,0,0,4499.2,2059.1,160.2,128.1,25,15,4374768.44,6932337.04,7491815,5300000
2018-Dec-12,0,0,29,81,1522,1970,29943,20731,0,0,4001.6,1683.6,158.3,122.4,25,15,5203127.96,6997146.56,5244965,6200000
2018-Dec-15,0,2,28,70,1715,2236,35700,25546,0,89390.6,4256.7,2112.6,172.5,132.3,25,15,6372930.71,8686131.81,6965730,7400000
