date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,winners_9,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,prize_9,rollover_amount,prize_pool,sales,next_jackpot
2017-Aug-01,0,1,19,431,890,16501,11647,58401,85252,0,10507.3,13586.4,1137,527.6,24.1,22.9,15,10,2854748.51,6974767.2,15500600,5300000
2017-Aug-04,0,3,30,600,1059,21871,13714,58349,78670,0,178876,9044.9,858.5,466.1,19.1,20.4,15,10,5855562.97,10031674.57,15949165,8e+06
2017-Aug-08,0,4,26,452,897,16796,11525,51428,70828,0,108076.1,8407.6,918.1,443.3,20.1,19.5,15,10,8273002.8,11778563.2,13161570,1.1e+07
2017-Aug-11,0,0,19,331,800,15930,10410,49774,72815,0,0,38296,1401.5,555.6,23.6,24.1,15,10,10975395.15,14712984.65,14314400,1.3e+07
2017-Aug-15,0,1,18,490,781,18030,10149,45820,64395,0,436843,12271.7,855.8,514.5,18.9,22.4,15,10,13418214.13,16796468.83,12935335,1.5e+07
2017-Aug-18,0,4,21,386,890,16102,11773,56047,84343,0,113588.6,10940.3,1129.9,469.6,22.1,20.1,15,10,15958956.68,19773769.28,14119465,1.8e+07
2017-Aug-22,0,2,16,350,694,13922,9580,45172,65722,0,198840.1,12568,1090.6,527.1,22.2,21.6,15,10,18182777.99,21379859.99,12048790,2e+07
2017-Aug-25,0,6,33,583,1024,21599,13419,60232,85415,0,100366.3,9227.3,991.6,540.9,21.8,23.3,15,10,21550258.73,26130092.73,17659365,2.4e+07
2017-Aug-29,1,2,39,564,1218,22996,15352,65235,90351,24572441.8,270224.7,7007.2,919.8,408.2,18.3,18.3,15,10,0,28985930.2,16525550,2500000
2017-Sep-01,1,1,23,481,949,20140,12615,60269,93918,3314549.2,592732.3,13031.2,1182.9,574.5,23,24.5,15,10,0,7936677,17633370,2500000
2017-Sep-05,1,0,20,397,887,17753,11767,58338,81763,2925153.3,0,39380.1,1264.8,542.4,22.9,23.1,15,10,0,7067051.1,15708515,2500000
2017-Sep-08,0,3,27,348,878,16251,12728,63049,92503,0,175757.5,9874.7,1454.4,552.4,25.4,21.5,15,10,2948499.21,7290719.41,16199565,5400000
2017-Sep-12,0,3,23,336,796,16121,10677,49449,72413,0,162256.4,10701.6,1390.7,562.5,23.5,23.7,15,10,5670504.06,9416188.66,14374735,8e+06
2017-Sep-15,1,4,29,674,1088,22051,13238,59559,85128,8757520,138010.8,9625.6,786.2,466.8,19.5,21.7,15,10,0,13088406.9,16485075,2500000
2017-Sep-19,0,1,20,425,915,16765,11317,52747,76570,0,474818.2,12004.6,1072.4,477.3,22.1,21.8,15,10,2655176.6,6436708.4,14304105,5e+06
2017-Sep-22,0,3,24,381,912,16881,11435,55081,82698,0,170554.1,10780.2,1289.2,516,23.7,23.3,15,10,5516383.44,9568257.94,15359555,7900000
2017-Sep-26,0,2,34,421,1105,15574,12755,56474,77485,0,191850,5706.4,874.8,319.4,19.2,15.6,15,10,7662027.37,11080931.57,12367630,1e+07
2017-Sep-29,0,1,15,372,865,15783,11464,57139,91128,0,496037.8,16721.5,1280,527.5,24.5,22.6,15,10,10435862.91,14529305.61,15258645,1.3e+07
2017-Oct-03,1,1,18,352,915,16139,12544,59155,82539,13019619.6,462046.5,12979.8,1260.1,464.5,22.4,19.1,15,10,0,16897694.2,14358655,2500000
2017-Oct-06,0,1,23,352,853,15869,11641,52143,75134,0,466412.5,10254,1271.9,503,22.9,20.8,15,10,2608171.06,6326211.26,14060080,5e+06
2017-Oct-10,0,2,14,303,803,14499,10156,44240,63052,0,191669.9,13845.5,1214.4,439.1,20.6,19.7,15,10,4751800.74,7842410.64,11630870,6700000
2017-Oct-13,0,3,18,468,742,16556,9876,46486,70001,0,157012.6,13232.3,966.2,583.9,22.2,24.8,15,10,7385836.85,10990259.45,13863085,9700000
2017-Oct-17,0,2,20,297,704,13667,9945,45398,71218,0,184784.3,9343.7,1194.4,482.9,21.1,19.3,15,10,9452457.47,12577060.67,11536415,1.1e+07
2017-Oct-20,0,2,33,419,1085,15699,12652,52984,71356,0,209226.5,6411.8,958.7,354.7,20.8,17.2,15,10,11792440.59,15261501.39,12908820,1.4e+07
2017-Oct-24,1,1,18,284,653,12766,8006,39143,60132,13880563.6,373413.7,10490,1262.1,526.1,22.8,24.3,15,10,0,16818852.6,11169380,2500000
2017-Oct-27,0,2,23,419,757,16052,10631,49223,69957,0,224146.1,9855.6,1027,544.7,21.8,21.9,15,10,2506842.71,6045132.11,13433855,5e+06
2017-Oct-31,0,1,25,422,753,15200,9237,44020,65045,0,420168.7,8498.4,955.8,513.3,21.5,23.7,15,10,4856418.72,8135376.82,12508955,7500000
2017-Nov-03,0,1,25,582,1036,20629,12178,52134,70034,0,484074.4,9790.9,798.4,429.8,18.3,20.6,15,10,7563354.98,11312870.98,14349825,1e+07
2017-Nov-07,0,0,17,321,659,13994,9349,44392,63509,0,0,36435.9,1230.2,574.2,23,22.9,15,10,9863835.49,13093461.89,12286705,1.2e+07
2017-Nov-10,0,2,26,422,986,16340,11648,53275,79014,0,214468.8,8342,975.7,400.1,20.5,19.2,15,10,12262447.29,15862397.49,13328150,1.5e+07
2017-Nov-14,0,1,12,321,661,13512,9096,43913,65919,0,401663.3,16925.2,1201.1,559,23.1,22.9,15,10,14508541.88,17706670.28,12102170,1.7e+07
2017-Nov-17,0,1,17,429,741,16443,10001,47432,71779,0,477908.8,14215.1,1069.4,593.2,22.7,24.9,15,10,17181000.43,20850450.73,14091055,19500000
