date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,winners_9,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,prize_9,rollover_amount,prize_pool,sales,next_jackpot
2017-Aug-01,0,2,25,444,995,16952,11872,56867,82712,0,114067.9,4614.3,493.3,211,10.5,10.1,7.5,5,3298921.87,5208163.68,15500600,4400000
2017-Aug-04,0,0,19,385,865,16578,10863,50868,74283,0,0,19376.5,609.6,260,11.5,11.7,7.5,5,4666240.63,6564659.23,7257592.5,5500000
2017-Aug-08,0,3,26,509,748,16486,8955,41624,60407,0,67403.8,3932.7,381.4,248.6,9.6,11.8,7.5,5,5797004.07,7359700.67,5983205,6800000
2017-Aug-11,0,6,27,539,816,17787,9433,44394,66729,0,36452.9,4096.1,389.5,246.6,9.6,12,7.5,5,7020066.47,8711095.87,6476585,8e+06
2017-Aug-15,0,2,14,307,691,13985,8770,42032,60399,0,98268.1,7098.4,614.5,261.6,10.9,11.7,7.5,5,8119094.67,9656706.07,5860302.5,9e+06
2017-Aug-18,0,2,18,401,755,15981,9776,44220,63557,0,108220.9,6080.3,518.1,263.7,10.6,11.5,7.5,5,9329434.17,10993430.57,6386477.5,1e+07
2017-Aug-22,0,5,21,355,597,13364,7855,37450,53371,0,37034.7,4458.7,500.7,285.3,10.8,12.3,7.5,5,10364921.56,11780478.06,5446332.5,1.1e+07
2017-Aug-25,0,3,28,499,1057,18973,13674,62909,89628,0,86695.3,4696.9,500.3,226.3,10.7,9.9,7.5,5,11819317.38,13958106.48,7984417.5,1.3e+07
2017-Aug-29,0,1,29,370,899,17150,11812,56940,82506,0,244844,4269.2,635.3,250.6,11.1,10.8,7.5,5,13188480.63,15174996.43,7457692.5,1.4e+07
2017-Sep-01,0,2,32,470,952,17489,11862,58663,90330,0,134645.4,4255.2,550,260.1,12,11.8,7.5,5,2e+07,16847385.13,8131682.5,2.1e+07
