date,draw_number,sales,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,prize_1,prize_2,prize_3,prize_4,prize_5
2018-May-26,2340,22048852,2,7,163,8815,138621,1199647,4603805,10664,482,57,25
2018-May-30,2341,12252494,0,2,55,3848,85559,724522,1816584,20742,793,73,25
2018-Jun-02,2342,21553198,0,0,48,3000,74091,806216,5085086,0,1600,165,25
2018-Jun-06,2343,12639134,0,0,32,2293,59055,585676,6501413,0,1407,126,25
2018-Jun-09,2344,24550030,0,0,36,2901,76462,849928,9267495,0,2132,170,25
2018-Jun-13,2345,16959736,0,3,98,4196,85771,720793,10785901,15364,495,74,25
2018-Jun-16,2346,25962740,0,2,55,4496,108892,1056125,13641074,38310,1466,115,25
2018-Jun-20,2347,14350234,0,2,49,3194,71922,675105,14768674,24293,1043,103,25
2018-Jun-23,2348,23118742,1,1,191,9048,166949,1305097,17196314,78275,431,58,25
2018-Jun-27,2349,12811908,0,1,29,1631,40598,431079,1899524,43378,1574,180,25
2018-Jun-30,2350,27489224,0,2,75,4621,105938,997594,4986777,35251,989,103,25
2018-Jul-04,2351,16024414,0,0,38,1997,51517,547266,6417197,0,1193,146,25
2018-Jul-07,2352,21172076,0,1,34,2947,81149,893821,9056210,71684,2219,165,25
2018-Jul-11,2353,13761160,1,4,119,5598,103923,815270,10596472,11648,412,56,25
2018-Jul-14,2354,21012356,0,2,82,5422,119574,1091509,3115342,35571,913,89,25
2018-Jul-18,2355,19435084,0,0,20,1816,45676,487753,5063895,0,2289,162,25
2018-Jul-21,2356,24773146,1,1,85,6009,132766,1171112,7748131,72716,900,82,25
2018-Jul-25,2357,12323308,0,3,80,4725,94908,730843,1827083,13908,549,59,25
2018-Jul-28,2358,28049952,0,2,96,4678,115994,1075702,4997402,36199,793,105,25
2018-Aug-01,2359,16516886,0,1,31,2081,54955,582994,6457803,44768,1520,146,25
2018-Aug-04,2360,25899636,0,1,69,5371,130092,1190652,9309088,76531,1167,96,25
2018-Aug-08,2361,17777064,0,1,73,4789,97146,815529,10956094,49030,706,69,25
2018-Aug-11,2362,26715412,1,2,173,10451,188440,1441334,13922705,39582,481,51,25
2018-Aug-15,2363,12925282,0,0,24,2109,53732,558416,1960095,0,1919,140,25
